Frame,Target_ID,CX,CY,Area,IoU_Similarity,RD,BMS,Final_Result
33,0,270,126,385.0,0.6564,0.99,0.15,1
33,1,126,122,576.0,0.6729,0.99,0.14,1
33,3,228,46,1117.0,0.9085,0.8,0.06,0
34,0,275,126,385.5,0.6335,0.99,0.15,1
34,1,131,122,569.0,0.6568,0.99,0.14,1
34,3,229,46,1092.0,0.9228,0.8,0.06,0
35,0,279,126,380.0,0.6848,0.99,0.16,1
35,1,135,122,547.5,0.6779,0.99,0.15,1
35,3,230,46,1127.5,0.932,0.8,0.06,0
36,0,279,126,380.0,1.0,0.99,0.16,0
36,1,135,122,547.5,0.9966,0.99,0.14,0
36,3,230,46,1100.5,0.9795,0.8,0.06,0
37,0,282,125,372.0,0.6446,0.99,0.15,1
37,1,139,121,567.0,0.6483,0.99,0.14,1
37,3,232,46,1163.5,0.9257,0.84,0.06,0
38,4,2,137,31.0,-1,0.0,0.0,0
38,0,287,125,369.5,0.6012,0.99,0.16,0
38,1,144,121,569.0,0.6912,0.99,0.14,1
38,3,232,46,1153.0,0.9482,0.83,0.05,0
39,5,4,137,102.0,-1,0.0,0.0,0
39,0,291,125,373.0,0.6192,0.99,0.16,0
39,1,148,121,560.5,0.7018,0.99,0.14,1
39,3,235,46,1185.0,0.9336,0.83,0.05,0
40,6,6,137,164.0,-1,0.0,0.0,1
40,0,295,125,340.5,0.6128,0.99,0.16,0
40,1,152,121,565.5,0.6685,0.99,0.14,1
40,3,238,46,1165.0,0.9292,0.83,0.05,0
41,6,9,136,226.5,0.6204,0.0,0.0,1
41,0,299,125,349.5,0.6513,0.99,0.16,1
41,1,156,121,570.0,0.7021,0.99,0.15,1
41,3,239,46,1203.5,0.9344,0.87,0.05,0
42,6,8,135,218.5,0.9648,0.0,0.0,0
42,0,299,125,349.5,1.0,0.99,0.16,0
42,1,157,121,576.5,0.9887,0.99,0.14,0
42,3,238,46,1216.0,0.9902,0.82,0.05,0
43,6,11,135,249.5,0.7,0.0,0.0,1
43,0,303,125,355.5,0.6375,0.99,0.16,1
43,1,161,121,566.0,0.6846,0.99,0.14,1
43,3,240,46,1231.5,0.9253,0.82,0.05,0
44,6,18,135,235.5,0.4918,0.0,0.0,0
44,0,307,125,331.0,0.6116,0.99,0.16,0
44,1,166,121,587.5,0.6689,0.99,0.14,1
44,3,240,46,1244.0,0.9383,0.81,0.05,0
45,6,23,135,221.5,0.5692,0.0,0.0,0
45,0,311,126,290.0,0.5665,0.99,0.16,0
45,1,170,121,558.5,0.6948,0.99,0.14,1
45,3,241,46,1285.0,0.9327,0.82,0.05,0
46,6,26,135,282.0,0.6063,0.0,0.0,0
46,7,2,125,27.5,-1,0.0,0.0,0
46,0,316,125,291.5,0.5459,0.99,0.16,0
46,1,174,121,577.5,0.6819,0.99,0.14,1
46,3,242,46,1323.0,0.9303,0.82,0.05,0
47,6,28,134,348.0,0.5892,0.0,0.0,0
47,0,320,125,314.5,0.601,0.99,0.17,0
47,1,179,121,561.5,0.6837,0.99,0.15,1
47,3,242,46,1306.0,0.9104,0.82,0.05,0
48,6,28,134,348.0,1.0,0.0,0.0,0
48,0,320,125,314.5,1.0,0.99,0.17,0
48,1,179,121,561.5,1.0,1.0,0.14,0
48,3,241,46,1322.0,0.9806,0.76,0.04,0
49,0,324,125,290.5,0.5657,0.99,0.17,0
49,8,21,132,561.5,-1,0.0,0.0,1
49,1,183,121,532.0,0.6791,1.0,0.14,1
49,3,243,46,1360.0,0.9183,0.85,0.04,0
50,0,330,125,270.0,0.494,0.99,0.17,0
50,8,29,130,438.5,0.4223,0.0,0.0,0
50,1,188,121,551.5,0.6366,1.0,0.14,1
50,3,246,46,1364.0,0.9182,0.86,0.04,0
51,9,12,138,36.5,-1,0.0,0.0,1
51,0,335,125,270.0,0.5294,0.99,0.18,0
51,8,34,130,404.5,0.4794,0.0,0.0,0
51,1,193,121,546.5,0.6439,1.0,0.15,1
51,3,246,46,1323.0,0.909,0.83,0.04,0
51,10,75,45,21.5,-1,0.0,0.0,0
52,0,339,125,296.5,0.6067,1.0,0.18,0
52,8,33,130,582.0,0.475,0.0,0.0,0
52,1,197,121,543.5,0.6676,1.0,0.15,1
52,3,247,46,1286.0,0.9407,0.83,0.03,0
53,0,342,125,278.5,0.6684,1.0,0.19,1
53,8,39,131,589.0,0.4617,0.0,0.0,0
53,1,203,121,575.5,0.6181,1.0,0.15,0
53,3,247,46,1280.0,0.9405,0.83,0.03,0
54,0,342,125,278.5,1.0,1.0,0.18,0
54,8,39,131,589.0,1.0,0.0,0.0,0
54,1,203,121,575.5,1.0,1.0,0.15,0
54,3,248,46,1270.0,0.9893,0.82,0.03,0
55,11,61,135,233.5,-1,0.0,0.0,1
55,0,348,125,302.5,0.5035,1.0,0.18,0
55,8,29,126,276.5,0.2622,0.0,0.0,0
55,1,208,121,560.0,0.6419,1.0,0.15,1
55,3,247,46,1304.5,0.94,0.76,0.03,0
56,0,352,125,244.0,0.6042,1.0,0.18,0
56,12,49,130,537.5,-1,0.0,0.0,1
56,1,212,121,506.0,0.6973,1.0,0.15,1
56,3,245,46,1332.0,0.9219,0.67,0.03,0
57,12,71,135,261.0,0.2863,0.0,0.0,0
57,0,354,124,184.0,0.7384,0.99,0.18,1
57,13,37,126,336.5,-1,0.0,0.0,1
57,1,217,120,501.5,0.634,1.0,0.15,1
57,3,247,46,1277.0,0.9169,0.68,0.04,0
58,12,75,135,268.0,0.593,0.0,0.0,0
58,13,42,126,311.5,0.4482,0.0,0.0,0
58,1,221,120,492.0,0.6351,1.0,0.15,1
58,3,246,46,1248.5,0.9226,0.6,0.03,0
59,12,81,135,272.5,0.5636,0.0,0.0,0
59,13,47,126,322.0,0.5148,0.0,0.0,0
59,1,226,120,482.5,0.621,1.0,0.16,1
59,3,248,46,1228.5,0.9406,0.61,0.03,0
60,12,81,135,272.5,1.0,0.0,0.0,0
60,13,47,126,322.0,1.0,0.0,0.0,0
60,1,226,120,482.5,1.0,1.0,0.15,0
60,3,249,46,1235.5,0.9952,0.62,0.04,0
61,12,87,135,238.5,0.5714,0.0,0.0,0
61,13,51,126,260.5,0.4123,0.0,0.0,0
61,1,231,120,471.0,0.6411,1.0,0.16,1
61,3,249,46,1250.5,0.9139,0.67,0.03,0
62,14,55,138,51.5,-1,0.0,0.0,1
62,12,92,135,223.0,0.5371,0.0,0.0,0
62,15,52,119,85.0,-1,0.0,0.0,1
62,1,235,120,430.5,0.6565,1.0,0.16,1
62,3,251,46,1150.5,0.882,0.66,0.03,0
63,12,97,135,211.5,0.5492,0.0,0.0,0
63,16,60,127,237.5,-1,0.0,0.0,1
63,1,240,120,421.5,0.625,1.0,0.16,1
63,3,249,46,1125.5,0.887,0.56,0.03,0
64,12,103,135,180.5,0.4733,0.0,0.0,0
64,16,64,128,223.0,0.4709,0.0,0.0,0
64,1,245,121,398.5,0.5735,1.0,0.16,0
64,17,148,46,22.0,-1,0.0,0.0,0
64,3,253,46,1125.5,0.9401,0.59,0.04,0
65,12,108,135,204.5,0.5175,0.0,0.0,0
65,16,68,128,198.0,0.3333,0.0,0.0,0
65,1,249,120,429.0,0.6144,1.0,0.17,0
65,3,256,46,1079.0,0.9018,0.62,0.04,0
66,12,108,135,204.5,1.0,0.0,0.0,0
66,16,69,128,206.0,0.9506,0.0,0.0,0
66,1,249,120,429.0,1.0,1.0,0.16,0
66,3,257,46,1098.0,0.9822,0.61,0.04,0
67,12,112,135,223.5,0.5631,0.0,0.0,0
67,16,74,126,270.5,0.2927,0.0,0.0,0
67,1,255,120,406.5,0.5408,1.0,0.16,0
67,3,247,46,1158.5,0.8449,0.29,0.05,0
68,18,78,137,48.0,-1,0.0,0.0,1
68,12,117,135,199.5,0.5434,0.0,0.0,0
68,19,76,120,104.5,-1,0.0,0.0,1
68,1,260,120,400.5,0.5888,1.0,0.17,0
68,20,143,45,49.0,-1,0.0,0.0,0
68,3,252,46,1169.5,0.8868,0.32,0.05,0
69,12,122,135,177.0,0.5035,0.0,0.0,0
69,21,85,127,215.0,-1,0.0,0.0,1
69,1,265,120,439.5,0.569,1.0,0.17,0
69,3,246,46,1229.5,0.8835,0.14,0.05,0
70,12,127,135,193.0,0.518,0.0,0.0,0
70,21,90,127,331.0,0.3894,0.0,0.0,0
70,1,270,119,451.0,0.6158,1.0,0.17,0
70,3,247,46,1250.0,0.8855,0.14,0.05,0
71,12,133,135,144.0,0.4197,0.0,0.0,0
71,21,95,128,313.5,0.4646,0.0,0.0,0
71,1,274,120,458.0,0.6411,1.0,0.17,1
71,3,249,46,1275.0,0.8833,0.19,0.05,0
72,12,133,135,144.0,1.0,0.0,0.0,0
72,21,95,128,313.5,1.0,0.0,0.0,0
72,1,274,120,458.0,1.0,1.0,0.17,0
72,3,250,46,1254.5,0.9859,0.18,0.05,0
73,12,138,135,180.0,0.4045,0.0,0.0,0
73,21,100,126,279.5,0.4879,0.0,0.0,0
73,1,279,120,447.0,0.6102,1.0,0.17,0
73,3,248,46,1252.5,0.8957,0.14,0.05,0
74,12,142,134,191.5,0.5018,0.0,0.0,0
74,21,107,127,192.5,0.2742,0.0,0.0,0
74,1,284,119,440.5,0.6354,0.99,0.17,1
74,3,251,46,1284.5,0.9038,0.17,0.06,0
75,22,106,138,38.5,-1,0.0,0.0,0
75,12,147,134,161.0,0.4803,0.0,0.0,0
75,21,111,121,133.5,0.3367,0.0,0.0,0
75,1,288,120,413.5,0.6014,0.99,0.17,0
75,3,253,46,1250.5,0.8773,0.18,0.06,0
76,12,152,134,160.0,0.5325,0.0,0.0,0
76,23,114,127,318.5,-1,0.0,0.0,1
76,1,293,119,433.5,0.6259,0.99,0.17,1
76,3,253,46,1253.5,0.8849,0.18,0.06,0
77,12,156,135,145.0,0.5388,0.0,0.0,0
77,23,118,127,371.0,0.5337,0.0,0.0,0
77,1,297,120,420.0,0.6619,0.99,0.18,1
77,3,252,46,1195.5,0.8628,0.18,0.06,1
78,12,156,135,145.0,1.0,0.0,0.0,0
78,23,118,127,363.5,0.9806,0.0,0.0,0
78,1,297,120,420.0,1.0,0.99,0.18,0
78,3,251,46,1191.5,0.9758,0.13,0.06,0
