Frame,Target_ID,CX,CY,Area,IoU_Similarity,RD,BMS,Final_Result
38,3,157,118,1628.0,0.8764,0.51,0.02,1
39,0,312,220,264.5,1.0,0.0,0.0,0
39,1,296,194,134.0,0.9458,0.08,0.03,0
39,3,156,119,1583.0,0.8933,0.51,0.02,0
40,0,312,220,264.5,1.0,0.0,0.0,0
40,1,296,195,137.5,0.9752,0.1,0.04,0
40,3,156,118,1564.5,0.9131,0.48,0.02,0
41,0,312,220,263.0,0.9932,0.0,0.0,0
41,1,296,194,135.0,0.9814,0.07,0.04,0
41,3,155,118,1418.5,0.8729,0.48,0.02,1
42,0,312,220,264.5,0.9932,0.0,0.0,0
42,1,296,195,139.0,0.9394,0.09,0.04,0
42,3,155,118,1507.5,0.9166,0.48,0.02,0
43,0,312,220,264.5,1.0,0.0,0.0,0
43,1,296,195,139.0,1.0,0.09,0.04,0
43,3,155,118,1515.5,0.995,0.48,0.02,0
44,0,312,220,264.5,1.0,0.0,0.0,0
44,1,296,195,136.5,0.9815,0.09,0.04,0
44,3,155,118,1641.0,0.8752,0.46,0.02,1
45,0,312,220,264.5,1.0,0.0,0.0,0
45,1,296,194,143.5,0.9012,0.06,0.05,0
45,3,153,118,1566.0,0.8442,0.53,0.02,1
46,0,312,220,260.5,0.9864,0.0,0.0,0
46,1,296,195,131.0,0.9107,0.08,0.05,0
46,3,152,119,1788.0,0.8458,0.51,0.02,1
47,0,312,220,264.5,0.9864,0.0,0.0,0
47,1,296,195,134.0,0.9808,0.08,0.05,0
47,3,151,118,1687.0,0.9038,0.58,0.02,0
48,0,312,220,262.5,0.9932,0.0,0.0,0
48,1,296,195,139.0,0.963,0.08,0.05,0
48,3,150,118,1682.5,0.9518,0.59,0.02,0
49,0,312,220,264.5,0.9932,0.0,0.0,0
49,1,296,195,139.0,1.0,0.07,0.04,0
49,3,150,118,1665.0,0.9903,0.61,0.02,0
50,0,312,220,264.5,1.0,0.0,0.0,0
50,1,296,195,131.5,0.9444,0.0,0.04,0
50,3,149,119,1629.0,0.9065,0.61,0.02,0
51,0,312,220,264.5,1.0,0.0,0.0,0
51,1,296,195,134.0,0.9808,0.0,0.04,0
51,3,149,118,1620.0,0.9445,0.58,0.02,0
52,0,312,220,269.5,0.9801,0.0,0.0,0
52,1,296,195,131.0,0.9808,0.0,0.04,0
52,3,149,119,1710.5,0.9163,0.54,0.02,0
53,0,312,220,269.5,1.0,0.0,0.0,0
53,1,296,195,131.0,1.0,0.11,0.04,0
53,3,149,119,1647.5,0.9148,0.54,0.02,0
54,0,312,220,264.5,0.9801,0.0,0.0,0
54,1,296,195,134.0,0.9808,0.11,0.04,0
54,3,149,120,1634.0,0.8945,0.53,0.02,0
55,0,312,220,264.5,1.0,0.0,0.0,0
55,1,296,195,134.0,1.0,0.0,0.03,0
55,3,149,119,1641.0,0.982,0.56,0.02,0
56,0,312,220,251.5,0.9493,0.0,0.0,0
56,1,297,194,143.0,0.7527,0.11,0.04,1
56,4,171,154,67.5,-1,0.0,0.0,1
56,5,173,132,74.0,-1,0.0,0.0,0
56,3,148,116,1805.5,0.7619,0.52,0.02,1
57,0,312,220,251.5,1.0,0.0,0.0,0
57,1,297,195,131.5,0.9294,0.0,0.04,0
57,4,171,153,63.5,0.9512,0.0,0.0,0
57,3,149,118,1944.5,0.8502,0.42,0.02,1
58,0,312,220,251.5,1.0,0.0,0.0,0
58,1,297,194,136.5,0.9167,0.07,0.04,0
58,4,171,154,67.5,0.9512,0.0,0.0,0
58,3,149,118,1945.0,0.9686,0.44,0.02,0
59,0,312,220,257.0,0.9689,0.0,0.0,0
59,1,297,194,140.5,0.9762,0.08,0.04,0
59,4,171,153,63.5,0.9512,0.0,0.0,0
59,3,149,118,1921.5,0.9752,0.44,0.02,0
