Frame,Target_ID,CX,CY,Area,IoU_Similarity,RD,BMS,Final_Result
118,0,223,96,792.5,1.0,0.13,0.05,0
119,0,222,98,604.0,0.7734,0.07,0.05,1
120,0,222,99,568.0,0.8574,0.0,0.05,1
121,0,222,97,704.5,0.7995,0.05,0.06,1
122,0,222,98,603.0,0.8619,0.07,0.05,1
123,0,223,96,685.5,0.8602,0.12,0.06,1
124,0,223,96,685.5,1.0,0.06,0.05,0
125,0,223,98,582.0,0.8143,0.03,0.05,1
126,0,222,100,508.5,0.8326,0.05,0.06,1
127,0,223,98,668.0,0.7689,0.08,0.05,1
128,0,223,98,604.0,0.8569,0.08,0.05,1
129,0,223,99,567.0,0.9105,0.05,0.06,0
130,0,223,99,567.0,1.0,0.04,0.05,0
131,0,223,96,662.0,0.8373,0.07,0.05,1
132,0,222,98,605.0,0.9022,0.02,0.06,0
133,0,222,97,650.0,0.8986,0.02,0.06,0
134,0,222,98,606.5,0.9095,0.0,0.06,0
135,0,222,100,528.0,0.87,0.04,0.06,1
136,0,222,100,528.0,1.0,0.09,0.06,0
137,0,222,98,569.5,0.8974,0.02,0.06,0
138,0,222,100,496.0,0.8625,0.0,0.06,1
139,0,222,99,572.5,0.8718,0.02,0.06,1
140,0,222,95,702.5,0.8156,0.02,0.06,1
141,0,222,97,633.0,0.8993,0.02,0.06,0
142,0,222,97,633.0,1.0,0.09,0.06,0
143,0,222,97,610.5,0.9047,0.05,0.06,0
144,0,222,101,485.5,0.7801,0.11,0.06,1
145,0,222,99,550.5,0.8617,0.03,0.06,1
146,0,222,97,614.5,0.8958,0.03,0.06,0
147,0,222,99,580.0,0.8787,0.07,0.06,1
148,0,222,99,580.0,1.0,0.02,0.06,0
149,0,222,97,650.0,0.8911,0.04,0.06,0
150,0,222,98,606.0,0.866,0.02,0.06,1
151,0,223,100,551.5,0.8341,0.05,0.06,1
152,0,223,99,579.5,0.9167,0.07,0.06,0
153,0,223,99,619.0,0.9138,0.07,0.06,0
154,0,223,99,619.0,1.0,0.02,0.06,0
155,0,223,99,597.0,0.9463,0.04,0.05,0
156,0,223,100,537.0,0.8656,0.05,0.05,1
157,0,223,98,552.0,0.8025,0.0,0.06,1
158,0,222,96,674.5,0.8014,0.08,0.06,1
159,0,222,97,658.0,0.8685,0.05,0.06,1
160,0,222,97,658.0,1.0,0.04,0.05,0
161,0,223,98,650.5,0.85,0.03,0.05,1
