Frame,Target_ID,CX,CY,Area,IoU_Similarity,RD,BMS,Final_Result
124,3,149,120,1634,0.8945,0.53,0.02,0
125,3,149,119,1641,0.982,0.56,0.02,0
126,3,148,116,1805.5,0.8819,0.52,0.02,1
127,3,149,118,1944.5,0.8602,0.42,0.02,1
128,3,149,118,1945,0.9786,0.44,0.02,0
129,3,158,118,1640,1,0.48,0.02,0
130,3,157,118,1628,0.8764,0.51,0.02,1
131,3,156,119,1583,0.8533,0.51,0.02,0
132,3,156,118,1564.5,0.9231,0.48,0.02,0
133,3,127,121,1577.5,1,0.57,0.02,0
134,3,126,121,1475.5,0.91,0.59,0.02,0
135,3,126,121,1569.5,0.9036,0.59,0.02,0
136,3,127,121,1572.5,0.9151,0.52,0.02,0
137,3,145,117,1628,0.8766,0.43,0.02,1
138,3,145,117,1599,0.9825,0.41,0.02,0
139,3,144,118,1547,0.8959,0.41,0.02,0
140,3,139,119,1639.5,0.9394,0.41,0.03,0
141,3,138,118,1639.5,0.9274,0.41,0.03,0
142,3,139,118,1553,0.8998,0.35,0.03,0
143,3,139,118,1495,0.9291,0.35,0.03,0
144,3,138,118,1509,0.9912,0.36,0.03,0
145,3,139,118,1425.5,0.9347,0.32,0.03,0
146,3,134,119,1498.5,0.9968,0.49,0.02,0
147,3,134,120,1474.5,0.9487,0.49,0.02,0
148,3,134,120,1519.5,0.9073,0.49,0.02,0
149,3,127,121,1577.5,1,0.57,0.02,0
150,3,126,121,1475.5,0.9022,0.59,0.02,0
