Frame,Target_ID,CX,CY,Area,IoU_Similarity,RD,BMS,Final_Result
65,3,81,206,58.0,0.0,0.0,0.0,0
66,0,144,142,1340.0,0.0,0.42,0.08,0
66,3,81,206,58.0,0.0,0.0,0.0,0
67,0,143,145,1972.0,0.6188,0.37,0.09,0
68,0,141,149,2087.0,0.7167,0.28,0.1,1
69,0,139,151,2153.5,0.7537,0.2,0.1,1
70,0,136,155,2487.0,0.7957,0.11,0.11,1
71,0,138,154,2422.0,0.7585,0.12,0.11,1
72,0,138,154,2422.0,0.0,0.12,0.11,0
73,0,140,154,2733.5,0.7824,0.11,0.11,1
74,0,140,154,3338.0,0.7306,0.09,0.11,1
75,0,142,154,3260.5,0.7969,0.32,0.08,1
76,0,142,154,3474.0,0.8705,0.5,0.07,1
77,0,143,153,3614.5,0.8951,0.34,0.05,0
78,0,143,153,3614.5,0.0,0.34,0.05,0
79,4,102,231,104.5,-1,0.0,0.0,0
79,0,143,153,3622.0,0.8704,0.42,0.05,1
80,0,145,151,3338.5,0.8313,0.23,0.04,1
80,4,102,231,104.5,0.0,0.0,0.0,0
81,4,106,226,43.0,0.1625,0.0,0.0,0
81,0,144,152,3880.5,0.8268,0.41,0.04,1
82,4,110,232,92.0,0.0057,0.0,0.0,0
82,0,140,156,4528.0,0.8013,0.44,0.04,1
83,0,136,161,5162.5,0.829,0.48,0.04,1
83,4,110,232,92.0,0.0,0.0,0.0,0
84,0,136,161,5162.5,0.0,0.48,0.04,0
84,4,110,232,92.0,0.0,0.0,0.0,0
85,0,133,165,5188.5,0.8557,0.49,0.04,1
85,4,110,232,92.0,0.0,0.0,0.0,0
86,0,129,169,5140.5,0.8199,0.52,0.04,1
86,4,110,232,92.0,0.0,0.0,0.0,0
87,0,126,170,4636.5,0.8411,0.48,0.04,1
87,4,110,232,92.0,0.0,0.0,0.0,0
88,4,107,234,68.0,0.3893,0.0,0.0,0
88,0,128,164,3656.5,0.751,0.34,0.04,1
89,4,81,218,170.0,0.0,0.0,0.0,0
89,0,130,159,3049.5,0.7867,0.25,0.05,1
90,4,81,218,170.0,0.0,0.0,0.0,0
90,0,130,159,3049.5,0.0,0.25,0.05,0
91,4,72,218,155.0,0.3405,0.0,0.0,0
91,0,135,149,1231.0,0.4055,0.13,0.06,0
92,0,140,142,647.5,0.4353,0.19,0.07,0
92,4,72,218,155.0,0.0,0.0,0.0,0
93,0,144,139,494.5,0.5208,0.22,0.08,0
93,4,72,218,155.0,0.0,0.0,0.0,0
94,0,145,143,606.5,0.627,0.14,0.08,1
94,4,72,218,155.0,0.0,0.0,0.0,0
